State,Total Population,Population Under 18 Pct,Population Over 65 Pct,Foreign Born Pct,Non English Home Pct,Married Couple Household Pct,Median Income,Poverty Rate,Unemployment Rate,Food Stamps Pct,Uninsured Pct,Income Over 200k Pct,Bachelor Degree Pct,High School Grad Pct,Total Housing Units,Work From Home Pct,Mean Commute Time,Public Transit Pct,Non Family House Pct
Alabama,5108468,22.1,18.2,1.0,6.0,46.3,62212,15.6,4.0,13.8,8.5,6.7,28.9,11.3,2360120,8.8,25.5,0.3,27.8
Alaska,733406,23.8,14.0,2.2,15.0,46.3,86631,10.4,4.8,9.8,10.4,13.5,32.2,12.2,329681,9.0,19.8,0.8,29.0
Arizona,7431344,21.3,19.3,1.5,25.9,46.8,77315,12.4,4.3,10.1,9.9,10.8,33.5,13.1,3239474,17.5,25.7,1.2,27.2
Arkansas,3067732,22.9,18.0,0.7,8.2,46.7,58700,15.7,4.2,8.3,8.9,6.3,26.2,9.5,1409104,8.7,22.7,0.3,28.0
California,38965193,21.7,16.2,1.5,45.0,48.0,95521,12.0,5.5,13.4,6.4,19.1,37.5,14.7,14762527,14.6,29.2,3.1,30.0
Colorado,5877610,20.6,16.1,1.6,16.0,47.8,92911,9.3,3.8,9.0,6.7,15.9,46.4,18.1,2638093,19.9,25.5,1.6,25.3
Connecticut,3617176,20.0,19.1,3.8,23.9,46.3,91665,10.3,4.6,11.9,5.7,17.5,42.9,19.8,1546010,14.3,26.9,3.7,28.7
Georgia,11029227,23.0,15.4,1.5,15.7,46.4,74632,13.6,4.4,12.4,11.4,11.0,35.4,14.1,4610506,15.2,28.7,1.1,30.0
Delaware,1031890,20.5,21.3,1.9,15.8,47.6,81361,10.5,3.5,11.5,6.5,11.7,36.5,15.5,471472,13.6,26.8,2.3,26.9
District of Columbia,678972,18.6,13.1,2.6,19.4,25.5,108210,14.0,5.3,15.1,2.7,25.9,65.9,39.0,367125,27.3,30.4,22.9,21.9
Florida,22610726,19.4,21.7,3.9,30.8,47.0,73311,12.3,4.1,11.9,10.7,10.6,34.9,13.3,10451823,15.8,28.5,1.4,26.2
Hawaii,1435138,20.5,21.1,3.1,24.2,50.4,95322,10.1,3.5,11.0,3.2,17.0,37.0,13.9,572042,8.7,27.0,4.1,26.5
Idaho,1964726,23.7,17.4,1.0,10.8,55.7,74942,10.1,3.6,7.0,8.9,8.6,32.1,10.6,815304,13.5,21.9,0.6,29.6
Illinois,12549689,21.5,17.6,1.2,24.3,44.9,80306,11.6,4.7,14.1,6.2,12.6,38.3,15.5,5470727,14.0,28.1,6.6,28.5
Indiana,6862199,23.0,17.2,0.8,10.4,46.7,69477,12.3,3.6,8.7,6.9,7.6,30.2,11.1,3002580,10.4,24.3,0.7,28.5
Iowa,3207004,22.6,18.5,0.7,9.0,48.2,71433,11.3,2.8,8.7,5.0,7.5,31.5,10.7,1448736,10.5,20.0,0.8,26.9
Kansas,2940547,23.4,17.6,1.0,12.1,48.9,70333,11.2,3.3,6.8,8.4,8.2,35.8,13.4,1299931,10.4,20.0,0.4,28.4
Kentucky,4526154,22.4,17.8,0.8,6.7,46.8,61118,16.4,4.1,13.1,5.4,6.5,27.8,11.5,2036559,9.5,24.2,0.7,26.9
Louisiana,4573749,23.3,17.4,0.6,8.7,41.8,58229,18.9,4.9,17.4,6.9,7.0,27.0,10.1,2124930,8.1,25.7,0.8,29.1
Maine,1395722,17.6,22.9,1.0,5.7,47.9,73733,10.4,3.2,12.6,5.9,8.8,37.0,13.7,757424,14.3,24.3,0.8,22.2
Maryland,6180253,22.0,17.3,1.7,21.5,45.8,98678,9.5,4.0,10.4,6.3,18.7,43.7,21.3,2572382,16.9,31.4,4.9,29.3
Massachusetts,7001399,19.2,18.5,2.9,25.3,45.3,99858,10.4,3.9,15.7,2.6,21.1,47.8,22.4,3045867,15.6,29.9,7.3,27.2
Michigan,10037261,21.0,19.3,0.8,10.5,46.2,69183,13.5,4.5,14.0,4.5,8.6,32.7,12.8,4642957,12.2,24.5,0.9,28.0
Minnesota,5737915,22.6,17.9,0.9,12.5,48.6,85086,9.3,3.0,7.9,4.2,12.3,40.0,14.0,2574932,16.1,22.7,1.7,28.0
Mississippi,2939690,23.0,17.6,0.7,4.3,43.5,54203,18.0,4.8,12.9,10.3,5.5,25.5,10.0,1350552,6.4,25.2,0.2,29.1
Missouri,6196156,22.1,18.4,0.8,7.0,46.6,68545,12.0,3.4,9.6,7.5,8.1,33.2,13.0,2844440,12.5,23.5,0.8,27.3
Montana,1132812,20.8,20.5,0.8,4.5,48.3,70804,11.7,2.7,7.5,8.4,8.0,34.6,12.0,535481,11.3,20.2,0.6,25.3
Nebraska,1978379,24.2,17.2,1.0,12.5,49.0,74590,10.5,2.7,7.8,6.1,9.2,35.3,12.4,873525,10.1,19.1,0.5,28.2
Nevada,3194176,21.4,17.4,2.2,30.0,43.1,76364,12.0,4.6,13.1,10.8,10.2,28.7,10.0,1348248,11.6,25.5,2.3,28.4
New Hampshire,1402054,17.9,20.7,1.5,8.4,51.3,96838,7.2,2.6,6.3,4.7,15.7,40.7,16.2,653070,16.1,27.1,0.7,25.5
New Jersey,9290841,21.6,17.7,2.5,33.3,49.6,99781,9.7,4.7,9.7,7.2,20.4,43.8,17.5,3803652,14.0,31.4,9.6,30.2
New Mexico,2114371,21.2,19.9,1.2,31.7,40.9,62268,17.8,4.8,20.0,9.1,7.3,31.6,14.1,965373,10.7,23.2,0.7,27.9
New York,19571216,20.2,18.6,2.4,31.0,42.1,82095,14.2,5.0,16.2,4.8,15.9,40.6,18.1,8631232,12.4,32.8,23.5,27.8
North Carolina,10835491,21.4,17.7,1.5,13.8,47.4,70804,12.8,4.0,12.6,9.2,9.7,36.8,13.8,4979177,16.1,25.3,0.6,27.3
North Dakota,783926,22.9,17.1,1.2,6.2,46.0,76525,9.8,2.9,7.1,4.5,9.0,33.6,10.2,378124,8.3,18.5,0.2,25.6
Ohio,11785935,21.8,18.8,0.9,8.2,44.2,67769,13.3,4.0,12.4,6.1,8.4,32.0,12.7,5317134,11.9,23.5,1.1,27.5
Oklahoma,4053824,23.8,16.7,1.1,11.4,46.3,62138,15.9,4.6,15.1,11.4,6.5,28.7,10.1,1788886,9.1,22.6,0.3,29.1
Oregon,4233358,19.6,19.6,1.5,15.0,46.3,80160,12.2,4.1,16.8,5.5,11.8,37.7,14.2,1879510,17.7,23.2,2.2,25.0
Pennsylvania,12961683,20.2,20.0,2.0,13.0,46.0,73824,12.0,4.2,14.9,5.4,10.7,35.3,14.4,5839797,14.1,26.5,3.8,27.1
Rhode Island,1095962,18.5,19.4,2.0,23.2,43.5,84972,10.8,4.8,13.1,4.5,13.1,39.0,15.9,487127,11.8,25.6,1.9,26.7
South Carolina,5373555,21.3,19.3,1.2,8.5,47.6,67804,13.9,4.3,10.7,9.1,8.1,32.9,12.5,2490327,11.8,25.5,0.4,26.9
South Dakota,919318,23.8,18.4,0.7,7.0,48.1,71810,11.8,2.6,7.5,8.3,7.8,33.3,10.4,417187,9.8,18.4,0.7,27.7
Tennessee,7126489,21.9,17.5,1.1,8.7,46.7,67631,14.0,4.0,9.9,9.3,8.6,31.7,12.4,3195170,12.8,26.3,0.5,27.1
Texas,30503301,24.7,13.8,1.8,35.4,48.7,75780,13.7,4.4,11.2,16.4,11.6,34.2,12.6,12394809,13.7,27.2,0.9,31.1
Utah,3417734,27.3,12.2,1.1,15.6,58.2,93421,9.0,3.3,5.2,8.0,13.0,38.4,13.8,1258529,16.4,22.6,1.6,33.0
Vermont,647464,17.7,22.2,1.2,5.6,47.3,81211,9.7,2.6,10.0,3.4,10.5,43.7,18.5,341357,16.2,24.2,0.9,23.2
Virginia,8715698,21.5,17.2,2.1,17.8,49.0,89931,10.2,3.7,9.9,6.4,16.5,42.4,18.5,3717625,16.7,27.5,2.5,28.2
Washington,7812880,21.1,17.1,1.8,21.5,48.7,94605,10.3,4.5,12.0,6.3,17.3,40.5,16.1,3361561,17.3,26.7,4.0,26.7
West Virginia,1770071,19.9,21.5,0.5,2.5,45.3,55948,16.7,4.5,18.3,5.9,5.1,24.0,9.5,863756,8.3,27.7,0.5,25.6
Wisconsin,5910955,21.0,19.2,0.9,9.3,46.9,74631,10.7,2.8,11.4,4.9,8.5,33.8,11.5,2787388,12.2,22.5,1.1,26.7
Wyoming,584057,22.3,19.2,0.8,7.4,49.2,72415,11.3,3.2,5.3,10.7,7.3,30.4,11.2,280119,10.2,19.5,1.2,25.9
